C1,C2,C3,Taxa_aprend,Hold-out,Épocas,Menor_erro,Acertos,Erros,EMQ,Acurácia
4,4,1,0.9,60%-40%,60000,0.906383961,4559,833,0.069228019,84.55%
4,4,1,0.9,70%-30%,60000,0.916474701,3427,617,0.065473808,84.74%
4,4,1,0.9,80%-20%,60000,0.917550256,2263,433,0.068377035,83.94%
4,4,1,0.65,60%-40%,60000,0.937301475,4523,869,0.072362157,83.88%
4,4,1,0.65,70%-30%,60000,0.935660529,3306,738,0.072014542,81.75%
4,4,1,0.65,80%-20%,60000,0.933131624,2291,405,0.068686690,84.98%
4,4,1,0.3,60%-40%,60000,0.990972572,4588,804,0.072022479,85.09%
4,4,1,0.3,70%-30%,60000,0.993110471,3429,615,0.069741678,84.79%
4,4,1,0.3,80%-20%,60000,0.994342779,2231,465,0.072781334,82.75%
4,10,1,0.9,60%-40%,60000,0.921100702,4571,821,0.066124471,84.77%
4,10,1,0.9,70%-30%,60000,0.915415035,3225,819,0.076881272,79.75%
4,10,1,0.9,80%-20%,60000,0.929514463,2287,409,0.063707992,84.83%
4,10,1,0.65,60%-40%,60000,0.907621694,4571,821,0.068755015,84.77%
4,10,1,0.65,70%-30%,60000,0.882133069,3402,642,0.072760883,84.12%
4,10,1,0.65,80%-20%,60000,0.876002140,2272,424,0.071531374,84.27%
4,10,1,0.3,60%-40%,60000,0.982439792,4487,905,0.079753337,83.22%
4,10,1,0.3,70%-30%,60000,0.986220878,3402,642,0.070423866,84.12%
4,10,1,0.3,80%-20%,60000,0.992858961,2281,415,0.069814292,84.61%
