Cenário experimental com 3 camadas: Skin_Segmentation_CV_D3-D5

Padrão>> 1 - Calculado: 0.312707232, Desejado: 0.0, Erro: 0.048892906
Padrão>> 2 - Calculado: 0.194141566, Desejado: 0.0, Erro: 0.018845474
Padrão>> 3 - Calculado: 0.130799842, Desejado: 0.0, Erro: 0.008554299
Padrão>> 4 - Calculado: 0.360570826, Desejado: 0.0, Erro: 0.065005660
Padrão>> 5 - Calculado: 0.176130437, Desejado: 0.0, Erro: 0.015510965
Padrão>> 6 - Calculado: 0.203470158, Desejado: 0.0, Erro: 0.020700053
Padrão>> 7 - Calculado: 0.774280116, Desejado: 1.0, Erro: 0.025474733
Padrão>> 8 - Calculado: 0.180651677, Desejado: 1.0, Erro: 0.335665837
Padrão>> 9 - Calculado: 0.205992538, Desejado: 0.0, Erro: 0.021216463
Padrão>> 10 - Calculado: 0.104491925, Desejado: 1.0, Erro: 0.400967356
Padrão>> 11 - Calculado: 0.944565378, Desejado: 1.0, Erro: 0.001536499
Padrão>> 12 - Calculado: 0.521002720, Desejado: 0.0, Erro: 0.135721917
Padrão>> 13 - Calculado: 0.970391249, Desejado: 1.0, Erro: 0.000438339
Padrão>> 14 - Calculado: 0.165102418, Desejado: 0.0, Erro: 0.013629404
Padrão>> 15 - Calculado: 0.959464940, Desejado: 1.0, Erro: 0.000821546
Padrão>> 16 - Calculado: 0.282463936, Desejado: 0.0, Erro: 0.039892938
Padrão>> 17 - Calculado: 0.214516066, Desejado: 0.0, Erro: 0.023008571
Padrão>> 18 - Calculado: 0.119910159, Desejado: 1.0, Erro: 0.387279065
Padrão>> 19 - Calculado: 0.799950995, Desejado: 1.0, Erro: 0.020009802
Padrão>> 20 - Calculado: 0.116551681, Desejado: 1.0, Erro: 0.390240466
Padrão>> 21 - Calculado: 0.180133627, Desejado: 0.0, Erro: 0.016224062
Padrão>> 22 - Calculado: 0.276867818, Desejado: 0.0, Erro: 0.038327894
Padrão>> 23 - Calculado: 0.674160187, Desejado: 0.0, Erro: 0.227245979
Padrão>> 24 - Calculado: 0.274923555, Desejado: 0.0, Erro: 0.037791481
Padrão>> 25 - Calculado: 0.784987747, Desejado: 1.0, Erro: 0.023115135
Padrão>> 26 - Calculado: 0.945146644, Desejado: 1.0, Erro: 0.001504445
Padrão>> 27 - Calculado: 0.127132259, Desejado: 0.0, Erro: 0.008081306
Padrão>> 28 - Calculado: 0.998233436, Desejado: 1.0, Erro: 0.000001560
Padrão>> 29 - Calculado: 0.190848705, Desejado: 0.0, Erro: 0.018211614
Padrão>> 30 - Calculado: 0.125942174, Desejado: 1.0, Erro: 0.381988542
Padrão>> 31 - Calculado: 0.961385249, Desejado: 1.0, Erro: 0.000745549
Padrão>> 32 - Calculado: 0.218916110, Desejado: 0.0, Erro: 0.023962132
Padrão>> 33 - Calculado: 0.959037522, Desejado: 1.0, Erro: 0.000838962
Padrão>> 34 - Calculado: 0.877284296, Desejado: 1.0, Erro: 0.007529572
Padrão>> 35 - Calculado: 0.159931303, Desejado: 0.0, Erro: 0.012789011
Padrão>> 36 - Calculado: 0.119390649, Desejado: 0.0, Erro: 0.007127064
Padrão>> 37 - Calculado: 0.088309661, Desejado: 1.0, Erro: 0.415589637
Padrão>> 38 - Calculado: 0.900678612, Desejado: 1.0, Erro: 0.004932369
Padrão>> 39 - Calculado: 0.232696477, Desejado: 0.0, Erro: 0.027073825
Padrão>> 40 - Calculado: 0.249303274, Desejado: 0.0, Erro: 0.031076061
Padrão>> 41 - Calculado: 0.119401888, Desejado: 0.0, Erro: 0.007128405
Padrão>> 42 - Calculado: 0.888848126, Desejado: 1.0, Erro: 0.006177369
Padrão>> 43 - Calculado: 0.138001750, Desejado: 0.0, Erro: 0.009522241
Padrão>> 44 - Calculado: 0.722633949, Desejado: 1.0, Erro: 0.038465963
Padrão>> 45 - Calculado: 0.104427933, Desejado: 1.0, Erro: 0.401024663
Padrão>> 46 - Calculado: 0.252800370, Desejado: 0.0, Erro: 0.031954014
Padrão>> 47 - Calculado: 0.175227607, Desejado: 1.0, Erro: 0.340124750
Padrão>> 48 - Calculado: 0.506078886, Desejado: 1.0, Erro: 0.121979033
Padrão>> 49 - Calculado: 0.864971518, Desejado: 1.0, Erro: 0.009116345
Padrão>> 50 - Calculado: 0.185690971, Desejado: 0.0, Erro: 0.017240568
Padrão>> 51 - Calculado: 0.181804192, Desejado: 0.0, Erro: 0.016526382
Padrão>> 52 - Calculado: 0.995150365, Desejado: 1.0, Erro: 0.000011759
Padrão>> 53 - Calculado: 0.225581296, Desejado: 0.0, Erro: 0.025443461
Padrão>> 54 - Calculado: 0.151106138, Desejado: 0.0, Erro: 0.011416533
Padrão>> 55 - Calculado: 0.967029894, Desejado: 1.0, Erro: 0.000543514
Padrão>> 56 - Calculado: 0.294252397, Desejado: 0.0, Erro: 0.043292237
Padrão>> 57 - Calculado: 0.299777765, Desejado: 0.0, Erro: 0.044933354
Padrão>> 58 - Calculado: 0.210229996, Desejado: 1.0, Erro: 0.311868330
Padrão>> 59 - Calculado: 0.257683459, Desejado: 0.0, Erro: 0.033200383
