Cenário experimental com 4 camadas: Skin_Segmentation_HO

Padrão>> 1 - Calculado: 0.462567240, Desejado: 1.0, Erro: 0.144416986
Padrão>> 2 - Calculado: 0.169859430, Desejado: 0.0, Erro: 0.014426113
Padrão>> 3 - Calculado: 0.191855456, Desejado: 0.0, Erro: 0.018404258
Padrão>> 4 - Calculado: 0.990885287, Desejado: 1.0, Erro: 0.000041539
Padrão>> 5 - Calculado: 0.119226457, Desejado: 1.0, Erro: 0.387881017
Padrão>> 6 - Calculado: 0.118428611, Desejado: 0.0, Erro: 0.007012668
Padrão>> 7 - Calculado: 0.111921776, Desejado: 0.0, Erro: 0.006263242
Padrão>> 8 - Calculado: 0.991219471, Desejado: 1.0, Erro: 0.000038549
Padrão>> 9 - Calculado: 0.326239617, Desejado: 1.0, Erro: 0.226976527
Padrão>> 10 - Calculado: 0.110588288, Desejado: 0.0, Erro: 0.006114885
Padrão>> 11 - Calculado: 0.111821668, Desejado: 1.0, Erro: 0.394430375
Padrão>> 12 - Calculado: 0.984316239, Desejado: 1.0, Erro: 0.000122990
Padrão>> 13 - Calculado: 0.171759438, Desejado: 0.0, Erro: 0.014750652
Padrão>> 14 - Calculado: 0.111558964, Desejado: 1.0, Erro: 0.394663738
Padrão>> 15 - Calculado: 0.560934399, Desejado: 0.0, Erro: 0.157323700
Padrão>> 16 - Calculado: 0.990959183, Desejado: 1.0, Erro: 0.000040868
Padrão>> 17 - Calculado: 0.378155249, Desejado: 0.0, Erro: 0.071500696
Padrão>> 18 - Calculado: 0.258366467, Desejado: 0.0, Erro: 0.033376616
Padrão>> 19 - Calculado: 0.950937206, Desejado: 1.0, Erro: 0.001203579
Padrão>> 20 - Calculado: 0.991953289, Desejado: 1.0, Erro: 0.000032375
Padrão>> 21 - Calculado: 0.992619335, Desejado: 1.0, Erro: 0.000027237
Padrão>> 22 - Calculado: 0.408815274, Desejado: 0.0, Erro: 0.083564964
Padrão>> 23 - Calculado: 0.114196165, Desejado: 0.0, Erro: 0.006520382
Padrão>> 24 - Calculado: 0.522371473, Desejado: 1.0, Erro: 0.114064505
Padrão>> 25 - Calculado: 0.617747333, Desejado: 0.0, Erro: 0.190805884
Padrão>> 26 - Calculado: 0.119445593, Desejado: 0.0, Erro: 0.007133625
Padrão>> 27 - Calculado: 0.382609938, Desejado: 0.0, Erro: 0.073195182
Padrão>> 28 - Calculado: 0.994279749, Desejado: 1.0, Erro: 0.000016361
Padrão>> 29 - Calculado: 0.163048537, Desejado: 0.0, Erro: 0.013292413
Padrão>> 30 - Calculado: 0.974092249, Desejado: 1.0, Erro: 0.000335606
Padrão>> 31 - Calculado: 0.987860514, Desejado: 1.0, Erro: 0.000073684
Padrão>> 32 - Calculado: 0.131254251, Desejado: 1.0, Erro: 0.377359588
Padrão>> 33 - Calculado: 0.120893974, Desejado: 0.0, Erro: 0.007307676
Padrão>> 34 - Calculado: 0.270241041, Desejado: 0.0, Erro: 0.036515110
Padrão>> 35 - Calculado: 0.210824267, Desejado: 0.0, Erro: 0.022223436
Padrão>> 36 - Calculado: 0.110726130, Desejado: 1.0, Erro: 0.395404008
Padrão>> 37 - Calculado: 0.152126898, Desejado: 0.0, Erro: 0.011571296
Padrão>> 38 - Calculado: 0.992847674, Desejado: 1.0, Erro: 0.000025578
Padrão>> 39 - Calculado: 0.139330683, Desejado: 0.0, Erro: 0.009706520
Padrão>> 40 - Calculado: 0.994541989, Desejado: 1.0, Erro: 0.000014895
Padrão>> 41 - Calculado: 0.157928768, Desejado: 0.0, Erro: 0.012470748
Padrão>> 42 - Calculado: 0.639032737, Desejado: 1.0, Erro: 0.065148683
Padrão>> 43 - Calculado: 0.991984544, Desejado: 1.0, Erro: 0.000032124
Padrão>> 44 - Calculado: 0.330409963, Desejado: 0.0, Erro: 0.054585372
Padrão>> 45 - Calculado: 0.141107659, Desejado: 0.0, Erro: 0.009955686
Padrão>> 46 - Calculado: 0.120510661, Desejado: 0.0, Erro: 0.007261410
Padrão>> 47 - Calculado: 0.412596992, Desejado: 1.0, Erro: 0.172521147
